id,family,language,source,page,year_of_occurrence,village_in_source,village,latitude,longitude,text_type,original,translation_Russian,translation_English,modal_marker,marker disamb,constr_type,copula_or_retr,complement,complement_form,inf_postposition,use,modal_or_non-modal,semantics,mod_type_vAP,mod_type_descriptive,negation_expressed,negation_scope,question,question_type,question_emb,overt_A_S,A_S_case,P_argument,P_number,P_overt,P_case,indexing,animacy,counted_in_corpus,counted_in_subcorpus,im_personality,rule or strategy,speaker info,dialect
wm11,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"jesl'i vesə̈ madaš tə̈ngäleš , to ti kons'ervə̈ ätə̈žə̈m ti kl'etkä gač šə̈käl koltə̑šašlə̑k ə̑leš jalžə̑ dono , dä tə̈škə̈ jalžə̑ popazə̑šašlə̑k agə̑l .","Если другой начинает играть, то эту консервную посудину через эту клетку проталкивать должен ногой, и его нога не должна туда попадать.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic (game rules),0,,no,,,0,no,,,,,,hum,present-day,games,personal,,,
wm12,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"jesl'i vesə̈ madaš tə̈ngäleš , to ti kons'ervə̈ ätə̈žə̈m ti kl'etkä gač šə̈käl koltə̑šašlə̑k ə̑leš jalžə̑ dono , dä tə̈škə̈ jalžə̑ popazə̑šašlə̑k agə̑l .","Если другой начинает играть, то эту консервную посудину через эту клетку проталкивать должен ногой, и его нога не должна
туда попадать.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic (game rules),1,,no,,,1,nom,,,,,,inan,present-day,games,personal,rule!!!,,
wm13,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,edemə̈m čučeš - značit tə̈ edem ti ploš'adkə̑ gə̈c karangšašlə̑k ə̑leš ,"Попадет в человека - значит, тот человек с этой площадки должен уйти.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic (game rules),0,,no,,,1,nom,,,,,,hum,present-day,games,personal,rule!!!,,
wm14,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Apshak-Pelyak,Apshak-Pelyak,56.176298,46.698152,spontaneous," a ves edemžə̈ tidə̈m pälə̈šäšlə̑k ə̑leš , kün dono tidə̈ madə̑š.","А другой человек это должен узнать, у кого эта игрушка.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic (game rules),0,,no,,,1,nom,,,,,,hum,present-day,games,personal,,,
wm15,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Apshak-Pelyak,Apshak-Pelyak,56.176298,46.698152,spontaneous,"jesl'i ak pälə̈ gə̈n', to tamam ə̈štə̈šäšlə̑k , tamaxan' il'i mə̑ren pušašlə̑k , il'i kušten pušašlə̑k ","Если не узнает, то что-то должен сделать, какое-нибудь или должен спеть, или должен сплясать.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic (game rules),0,,no,,,0,no,,,,,,hum,present-day,games,personal,,,
wm16,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Apshak-Pelyak,Apshak-Pelyak,56.176298,46.698152,spontaneous,"jesl'i ak pälə̈ gə̈n' , to tamam ə̈štə̈šäšlə̑k , tamaxan' il'i mə̑ren pušašlə̑k , il'i kušten pušašlə̑k ","Если не узнает, то что-то должен сделать, какое-нибудь или должен спеть, или должен сплясать.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic (game rules),0,,no,,,0,no,,,,,,hum,present-day,games,personal,,,
wm17,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Apshak-Pelyak,Apshak-Pelyak,56.176298,46.698152,spontaneous,"jesl'i ak pälə̈ gə̈n' , to tamam ə̈štə̈šäšlə̑k , tamaxan' il'i mə̑ren pušašlə̑k , il'i kušten pušašlə̑k ","Если не узнает, то что-то должен сделать, какое-нибудь или должен спеть, или должен сплясать.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic (game rules),0,,no,,,0,no,,,,,,hum,present-day,games,personal,,,
wm18,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Apshak-Pelyak,Apshak-Pelyak,56.176298,46.698152,spontaneous,"kə̑də̑žə̑ ak čuč - iktə̈t ak čuč , vesə̈ ak čuč , kə̑nam čučat - tə̈näm kə̑rgə̑ž keäš jažo, poka tə̈də̈ jə̑dal don orolə̑šə̑ tə̈ pə̑t'ungažə̑m nälšäšlə̑k ə̑leš dä värə̈škə̈žə̈ šə̈ndə̈šäšlə̑k ə̑leš kl'etkäškə̈ , texen'","Кто-то не попадет, один не попадет, другой не попадет, когда попадут - тогда бежать хорошо, пока с этим лаптем охранник эту петюнгу должен взять и на место должен поставить в клетку [начерченный квадрат], такую.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic (game rules),0,,no,,,1,nom,,,,,,hum,present-day,games,personal,,,
wm19,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Apshak-Pelyak,Apshak-Pelyak,56.176298,46.698152,spontaneous,"kə̑də̑žə̑ ak čuč - iktə̈t ak čuč , vesə̈ ak čuč , kə̑nam čučat - tə̈näm kə̑rgə̑ž keäš jažo , poka tə̈də̈ jə̑dal don orolə̑šə̑ tə̈ pə̑t'ungažə̑m nälšäšlə̑k ə̑leš dä värə̈škə̈žə̈ šə̈ndə̈šäšlə̑k ə̑leš kl'etkäškə̈ , texen'","Кто-то не попадет, один не попадет, другой не попадет, когда попадут - тогда бежать хорошо, пока с этим лаптем охранник эту петюнгу должен взять и на место должен поставить в клетку [начерченный квадрат], такую.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic (game rules),0,,no,,,1,nom,,,,,,hum,present-day,games,personal,,,
wm20,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Apshak-Pelyak,Apshak-Pelyak,56.176298,46.698152,spontaneous,"tə̈ čižikə̈m vozduxə̑štə̑ sevälšäšlə̑k ə̑lə̑t , poka .","Этот чижик в воздухе они должны отбить, пока [летит].",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic (game rules),0,,no,,,0,no,,,,,,hum,present-day,games,personal,,,
wm21,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Apshak-Pelyak,Apshak-Pelyak,56.176298,46.698152,spontaneous,"n'e , a , l'in'im kə̑rgə̑ž vanžə̑šašlə̑k ə̑lə̑t","Не, а, должны перебежать за линию.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic (game rules),0,,no,,,0,no,,,,,,hum,present-day,games,personal,,,
wm22,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Apshak-Pelyak,Apshak-Pelyak,56.176298,46.698152,spontaneous,"mä lüdə̈nnä , piš kogon küš kuzen kemə̈lä ut'ikä .","Мы боялись, очень высоко должны подняться качели.",NA,mə̑la,mə̑la,,NA,VP,stem,,predicate,modal,possibility,external,potential,0,,no,,,1,nom,,,,,,inan,not counted,,,,,
wm23,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Tyumanovo,Tyumanovo,56.16768,46.701784,spontaneous,"jə̑dal nə̈nə̈ il'i kə̑čə̑šašlə̑k ə̑lə̑t , iktä , iktäšt , il'i jə̑dal ken vacmə̑kə̑ , jə̑dal ken vacmə̑ mestä gə̈cə̈n ves komandə̑ vaštareš tože ik edem šušašlə̑k ə̑leš ","Лапоть они или поймать должны, кто-нибудь из них, или, когда лапоть упадет, с места, куда упал лапоть, навстречу другой команде тоже один человек должен кидать.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic (game rules),0,,no,,,1,nom,,,,,,hum,present-day,games,personal,,,
wm24,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Tyumanovo,Tyumanovo,56.16768,46.701784,spontaneous,"jə̑dal nə̈nə̈ il'i kə̑čə̑šašlə̑k ə̑lə̑t , iktä , iktäšt , il'i jə̑dal ken vacmə̑kə̑ , jə̑dal ken vacmə̑ mestä gə̈cə̈n ves komandə̑ vaštareš tože ik edem šušašlə̑k ə̑leš ","Лапоть они или поймать должны, кто-нибудь из них, или, когда лапоть упадет, с места, куда упал лапоть, навстречу другой команде тоже один человек должен кидать.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic (game rules),0,,no,,,1,nom,,,,,,hum,present-day,games,personal,,,
wm25,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Tyumanovo,Tyumanovo,56.16768,46.701784,spontaneous,i tenge kə̈škə̈lt-kə̈škə̈lt vaštareš-vaštareš kə̈škə̈lt-kə̈škə̈lt opr'ed'el'onnə̑j čerta jakte šošašlə̑k ə̑lə̑t ,"И так кидая-кидая, навстречу-навстречу кидая-кидая до черты должны добраться.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic (game rules),0,,no,,,0,no,,,,,,hum,present-day,games,personal,,,
wm26,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Tyumanovo,Tyumanovo,56.16768,46.701784,spontaneous,šə̈lə̈n šə̈nzə̈t – tə̈ orolšə̑ ti edemvläm mošašlə̑k ə̑leš ciläm,Спрячутся – этот сторож этих людей должен найти всех.,NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic (game rules),0,,no,,,1,nom,,,,,,hum,present-day,games,personal,,,
wm27,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"projekt semə̈n' teve ti štr'ixujə̑m värvläm cišti potopə̑šašlə̑k ə̑lə̑n , jesl'i čeboksarsk'ij gesə̈n urov'en'žə̈m kudlu kändäkššə̈ otm'etkə̈ jakte lüktälə̈t ə̑l'ə̑ .","По проекту вот эти заштрихованные места все должны были быть затоплены, если бы уровень Чебоксарской ГЭС подняли до 68-й отметки.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,counter_plan,0,,no,,,0,no,,,,,,inan,present-day,,,,,
wm28,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Tyumanovo,Tyumanovo,56.16768,46.701784,spontaneous,"kü , maxan' traktor'ist maxan' päšäm rovotajə̑šašlə̑k , maxan' br'igadə̑ mam rovotajə̑šašlə̑k , cilä tə̈də̈m rad'iouz'el gač popenə̈t ","Кто, какой тракторист какую работу должен делать, какая бригада, что должна делать, всё это сообщали через радиоузел.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic,0,,no,,,1,nom,,,,,,hum,present-day,,,,,
wm29,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Tyumanovo,Tyumanovo,56.16768,46.701784,spontaneous,"kü , maxan' traktor'ist maxan' päšäm rovotajə̑šašlə̑k , maxan' br'igadə̑ mam rovotajə̑šašlə̑k , cilä tə̈də̈m rad'iouz'el gač popenə̈t ","Кто, какой тракторист какую работу должен делать, какая бригада, что должна делать, всё это сообщали через радиоузел.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic,0,,no,,,1,nom,,,,,,hum_group,present-day,,,,,
wm30,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Tyumanovo,Tyumanovo,56.16768,46.701784,spontaneous,"oksam jästärə̈mə̈kə̈ ... každə̑j ärn'än mä tə̈ oksam šotajen , počtə̑š zdajə̑šašlə̑k ə̑lə̑nna .","Взятые деньги... каждую неделю, пересчитав эти деньги, мы должны были сдавать на почту.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic,0,,no,,,1,nom,,,,,,hum,present-day,,,,,
wm31,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,nünžə̈kšə̈ kogonok pingə̈də̈ lišäšlə̑k agə̑ l .,Тесто не должно быть очень крепким.,NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,external,instruction (recipe),1,,no,,,1,nom,,,,,,inan,present-day,recipes,personal,,,
wm32,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"texen'ə̈ , pə̑škə̑də̑rak lišäšlə̑k .","Такое, должно быть помягче.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,external,instruction (recipe),0,,no,,,0,no,,,,,,inan,present-day,recipes,personal,,,
wm33,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,vot anžen šalgə̑mə̑ godə̑m kon'ešnə̑ texen' i ... nə̈nə̈vlä cerkə̈vlä strojə̑šə̑vlä gišän jə̑mə̑ gə̈cə̈n carstvə̑m jadaš mondaš ak kel ,"И конечно, глядя на церковь, мы не должны забывать молиться Господу о царствии небесном для них, строителей церквей.",NA,keläš,keläš,need,NA,VP,inf_aš,no,predicate,modal,necessity,deontic,deontic,1,,no,,,0,no,,,,,,hum,present-day,,,,,
wm34,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"kə̈zə̈tšə̈ tergə̈mäš semə̈ n' tə̑mdə̑šə̑vlä každə̑j kə̑m i vuj gə̈cə̈n ti kursə̑škə̑ kešäšlə̑k ə̑lə̑t , pälə̈mäšə̈štə̈m nə̈nə̈ tə̑mdə̑šə̑vlä kelgemdə̈šäšlə̑k ə̑lə̑t ","По нынешним требованиям учителя каждые три года должны побывать на этих курсах, должны они [учителя] углублять свои знания.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic,0,,no,,,1,nom,,,,,,hum,present-day,,,,,
wm35,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"kə̈zə̈tšə̈ tergə̈mäš semə̈n' tə̑mdə̑šə̑vlä každə̑j kə̑m i vuj gə̈cə̈n ti kursə̑škə̑ kešäšlə̑k ə̑lə̑t , pälə̈mäšə̈štə̈m nə̈nə̈ tə̑mdə̑šə̑vlä kelgemdə̈šäšlə̑k ə̑lə̑t ","По нынешним требованиям учителя каждые три года должны побывать на этих курсах, должны они [учителя] углублять свои знания.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic,0,,no,,,1,nom,,,,,,hum,present-day,,,,,
wm36,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"kə̈zə̈tšə̈ žepə̈n fə̑gosə̑n tergə̈mə̈ semə̈n' t'et'ävläm ... küvlä fə̑gosə̑n tr'ebovan'i dono tə̑men'ə̈t , projektvläm dä issl'edə̑vat'ə̑l'sk'ij päšävläm ə̈šten mə̑štə̑šašlə̑k ə̑lə̑t ","В настоящее время по требованию ФГОС дети, которые учатся по требованию ФГОС, должны уметь делать проекты и исследовательские работы.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic,0,,no,,,1,nom,,,,,,hum,present-day,,,,,
wm37,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,marə̑ jə̈lmə̈ dono d'iktantə̑m sirät dä lu zadan'im ə̈štə̈šäšlə̑k ə̑lə̑t . ,"По марийскому языку пишут диктант, еще десять заданий должны выполнить.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm38,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"d'iktant ... pə̈täri d'iktantə̑m t'et'ävlä sirə̈šäšlə̑k ə̑lə̑t , vara l'istokvläm päšävläštə̈m organ'izatə̑rvlä pogen nälə̈t , vara uže zadan'ivläžə̈ op'at' d'iktantə̑n t'ekst dono kə̈ldältə̈t t'ekstšə̈ uže dä zadan'ivläžə̈ pasna blankvläštə̈ lit , d'iktantšə̑mat pasna blankeš ","Сперва дети должны написать диктант, потом рабочие листки организаторы соберут, потом опять задания по тексту диктанта говорят, а текст и задания уже будут на отдельных бланках, и диктант пишут на отдельных бланках.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic,0,,no,,,1,nom,,,,,,hum,present-day,,,,,
wm39,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"tə̈də̈ äšə̈ndären kolta, tagə̑škə̑ talašə̑šašlə̑k , kešäšlə̑k ə̑leš ","Он вспоминает, куда-то должен спешить, должен идти.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,external,external,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm40,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"tə̈də̈ äšə̈ndären kolta , tagə̑škə̑ talašə̑šašlə̑k, kešäšlə̑k ə̑leš ","Он вспоминает, куда-то должен спешить, должен идти.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,external,external,0,,no,,,0,no,,,,,,hum,present-day,,,,,
wm41,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"a jesl'i pandə̑ dono pet'ungam šin lə̑ktat kvadrat gə̈cə̈n , to orolə̑ mə̈ngeš kə̑čen , pet'ungam värə̈ škə̈žə̈ šə̈ndə̈šäšlə̑k","А если палкой петюнгу выбьешь из квадрата, то караульщик, снова схватив петюнгу, должен поставить ее на место.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic (game rules),0,,no,,,1,nom,,,,,,hum,present-day,games,personal,,,
wm42,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"tə̈ veremän ə̈rvezə̈vlä ə̈ške pandə̑štə̑lan ti pol'eštə̈ , ti pol'eškə̈ kə̑rgə̑žə̑t , xvat'at pandə̑štə̑m i l'in'i ves vekə̈ kə̑rgə̑žšašlə̑k ə̑lə̑t ","В это время мальчики за своими палками в этом поле, в это поле бегут, хватают свои палки и должны бежать за другую сторону линии.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic (game rules),0,,no,,,1,nom,,,,,,hum,present-day,games,personal,,,
wm43,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,l'in'ejkan razm'eržə̈ kok sant'im'etə̈ r dä pelə̈n kə̑mdə̑kšə̑ lišäšlə̑k ə̑lə̑n . ,"Размер линейки 2,5 см шириной должен был быть.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,external,external,0,,no,,,1,nom,,,,,,inan,present-day,,,,,
wm44,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,"eče jüäš tə̈ngälə̈näm , tožə̑ internetə̈štə̈ malyševam anženäm, značit zdorovje p'er'edačə̑štə̑žə̑ , və̈də̈m jüäš šüdä , každə̑j kečə̈n edemvlä jüšäšlə̑k ə̑lə̑t kok l'itə̈r və̈də̈m. ","Опять начал пить, тоже в интернете смотрел Малышеву, значит, в передаче ""Здоровье"", воду пить велит, каждый день люди",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic,0,,no,,,1,nom,,,,,,hum,present-day,,,,,
wm45,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Tyumanovo,Tyumanovo,56.16768,46.701784,spontaneous,"sedə̈ndono sola jäl narod keät , uže pälät , kə̑də̑ jär šülə̈šäšlə̑k , orolat .","Поэтому деревенский народ идет, уже знает, что озеро должно дышать, присматриваются.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,internal,internal,0,,no,,,1,nom,,,,,,inan,present-day,,,,,
wm46,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Kuznetsovo,Kuznetsovo,56.165953,46.71176,spontaneous,rovotajə̑šašlə̑k ə̑leš luat kə̑m edem .,Должны работать 13 человек.,NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,external,external,0,,no,,,1,nom,,,,,,hum,present-day,,,,,
wm47,Uralic,Hill Mari,Kashkin et al. 2019,NA,2016–2018,Tyumanovo,Tyumanovo,56.16768,46.701784,spontaneous,"xozažə̑ pälä gə̈n'ät , kü rojə̑m kə̑čen p'ervə̑j, tə̈də̈ tə̈ mükšvlä tə̈də̈n lišäšlə̑k ə̑lə̑t .","Хотя знает хозяин, кто первый поймал рой, у него и должны быть эти пчёлы.",NA,šašlə̑k,šašlə̑k,pers,NA,VP,stem,,predicate,modal,necessity,deontic,deontic,0,,no,,,1,nom,,,,,,animal,present-day,,,,,
